Borough,Year,Total Enrollment,Grade PK,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Other,% Other,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty
Brooklyn,2010-11,327411,19489,24010,25443,24619,23855,23352,23416,22998,22964,23260,26972,27824,19223,19986,158732,48.5%,168679,51.5%,44183,13.5%,139622,42.6%,88912,27.2%,5261,1.6%,49433,15.1%,53082,16.2%,41919,12.8%,273326,83.5%
Brooklyn,2011-12,328534,19345,25111,25944,25032,24338,23312,23363,23549,22821,23009,25955,26499,19751,20502,159869,48.7%,168665,51.3%,45789,13.9%,138281,42.1%,90418,27.5%,2647,0.8%,51399,15.6%,53431,16.3%,41091,12.5%,268084,81.6%
Brooklyn,2012-13,329440,18131,26192,26869,25430,24653,23451,23288,23041,23228,22888,26566,25621,18916,21166,159913,48.5%,169527,51.5%,47420,14.4%,135220,41.0%,90960,27.6%,3568,1.1%,52272,15.9%,55708,16.9%,41310,12.5%,268526,81.5%
Brooklyn,2013-14,333050,18307,26522,27996,26346,25138,23912,23494,23075,22768,23291,25795,25093,19697,21616,161232,48.4%,171817,51.6%,49204,14.8%,133758,40.2%,92618,27.8%,4612,1.4%,52858,15.9%,59948,18.0%,40973,12.3%,270948,81.4%
Brooklyn,2014-15,339267,21724,26597,27680,27303,25571,24644,23783,23109,22990,22546,26511,25472,19794,21543,164215,48.4%,175052,51.6%,50908,15.0%,132860,39.2%,94858,28.0%,5295,1.6%,55346,16.3%,59428,17.5%,41966,12.4%,268486,79.1%
Manhattan,2010-11,169182,7175,11046,11304,10873,10106,9954,10253,9931,9910,10062,19981,19713,14991,13883,85962,50.8%,83220,49.2%,20659,12.2%,42923,25.4%,79223,46.8%,3526,2.1%,22851,13.5%,28135,16.6%,24754,14.6%,128165,75.8%
Manhattan,2011-12,170220,7188,11344,11484,11117,10598,10043,10115,10419,10006,9952,19076,19159,15443,14276,86711,50.9%,83509,49.1%,21130,12.4%,43145,25.3%,79516,46.7%,2504,1.5%,23925,14.1%,28379,16.7%,23691,13.9%,125341,73.6%
Manhattan,2012-13,171763,6832,11876,11748,11198,10840,10328,10232,10268,10357,9938,19219,18402,15464,15061,87408,50.9%,84355,49.1%,21174,12.3%,42820,24.9%,79767,46.4%,3071,1.8%,24931,14.5%,29882,17.4%,22606,13.2%,125449,73.0%
Manhattan,2013-14,173351,6849,11992,12241,11409,11021,10451,10398,10436,10204,10459,18817,18461,15181,15432,87976,50.8%,85375,49.2%,21332,12.3%,42896,24.7%,79510,45.9%,3836,2.2%,25777,14.9%,32177,18.6%,21499,12.4%,125625,72.5%
Manhattan,2014-15,175366,8052,12058,12132,11917,11088,10773,10576,10615,10398,10244,18676,18106,15581,15150,89094,50.8%,86272,49.2%,21328,12.2%,42663,24.3%,80205,45.7%,4261,2.4%,26909,15.3%,32077,18.3%,20268,11.6%,122747,70.0%
